,Ship type,length,breadth,gross_tonnage,deadweight,engine_power,max_speed,avg_speed,Time spent at sea [hours],Total CO₂ emissions [m tonnes],type no
1,Ro-pax ship,123.0,19.0,9149.0,1968.0,,11.8,10.9,1771.0,6097.81,11.0
2,Ro-ro ship,124.0,19.0,7171.0,2838.0,,13.9,13.9,2992.36,6674.22,12.0
4,Ro-ro ship,108.0,20.0,6040.0,2566.0,,14.7,13.9,2494.0,5355.81,12.0
5,Ro-pax ship,128.0,19.0,10154.0,1132.0,,14.4,13.0,2229.75,10163.69,11.0
7,Ro-pax ship,125.0,18.0,9183.0,2254.0,14000 KW,12.2,11.0,1272.25,5866.95,11.0
8,Ro-pax ship,121.0,19.0,4986.0,1029.0,,19.0,18.9,3090.3,20072.86,11.0
9,Ro-pax ship,120.0,21.0,12035.0,2151.0,,15.5,11.8,2288.92,10986.29,11.0
10,Ro-pax ship,118.0,20.0,9182.0,1185.0,,16.4,15.2,1582.27,8019.53,11.0
11,Ro-pax ship,117.0,20.0,11907.0,1560.0,,14.8,12.7,1495.2,7610.02,11.0
12,Ro-pax ship,120.0,21.0,12187.0,2541.0,,15.5,14.2,1096.67,6378.12,11.0
13,Ro-pax ship,118.0,18.0,5226.0,990.0,,14.5,12.7,1632.56,7199.88,11.0
15,Ro-pax ship,183.0,26.0,22528.0,3335.0,,20.1,18.2,2031.43,25980.3,11.0
18,Bulk carrier,204.0,27.0,24870.0,43728.0,14200 KW,10.7,9.0,3632.23,11124.22,0.0
19,Ro-pax ship,120.0,20.0,3924.0,1713.0,,5.4,3.8,2176.0,9928.86,11.0
21,Ro-pax ship,127.0,19.0,10553.0,1571.0,12600 KW,13.6,13.2,1965.57,5438.08,11.0
23,Ro-ro ship,151.0,20.0,5363.0,8661.0,,13.7,12.5,4636.0,19647.51,12.0
24,Ro-ro ship,185.0,26.0,19518.0,13088.0,,10.2,9.5,0.0,0.0,12.0
25,Ro-pax ship,147.0,25.0,19811.0,3250.0,,13.4,9.8,1788.0,12242.27,11.0
27,Ro-pax ship,122.0,18.0,9795.0,1310.0,18000 KW,17.2,11.4,2228.75,9059.87,11.0
28,Ro-pax ship,152.0,25.0,19589.0,3440.0,,16.9,14.6,3133.27,21075.24,11.0
