,IMO,Name,Ship type,Technical efficiency,Ice Class,Total fuel consumption [m tonnes],Fuel consumptions assigned to On laden [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes],CO₂ emissions which occurred within ports under a MS jurisdiction at berth [m tonnes],CO₂ emissions assigned to Passenger transport [m tonnes],CO₂ emissions assigned to Freight transport [m tonnes],CO₂ emissions assigned to On laden [m tonnes],Annual Time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average Fuel consumption per transport work (mass) [g / m tonnes · n miles],Annual average Fuel consumption per transport work (volume) [g / m³ · n miles],Annual average Fuel consumption per transport work (dwt) [g / dwt carried · n miles],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Annual average CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles],Annual average CO₂ emissions per transport work (volume) [g CO₂ / m³ · n miles],Annual average CO₂ emissions per transport work (dwt) [g CO₂ / dwt carried · n miles],Through ice [n miles],Time spent at sea [hours],Total time spent at sea through ice [hours],Fuel consumption per distance on laden voyages [kg / n mile],Fuel consumption per transport work (mass) on laden voyages [g / m tonnes · n miles],Fuel consumption per transport work (volume) on laden voyages [g / m³ · n miles],Fuel consumption per transport work (dwt) on laden voyages [g / dwt carried · n miles],Fuel consumption per transport work (pax) on laden voyages [g / pax · n miles],Fuel consumption per transport work (freight) on laden voyages [g / m tonnes · n miles],CO₂ emissions per distance on laden voyages [kg CO₂ / n mile],CO₂ emissions per transport work (mass) on laden voyages [g CO₂ / m tonnes · n miles],CO₂ emissions per transport work (volume) on laden voyages [g CO₂ / m³ · n miles],CO₂ emissions per transport work (dwt) on laden voyages [g CO₂ / dwt carried · n miles],CO₂ emissions per transport work (pax) on laden voyages [g CO₂ / pax · n miles],CO₂ emissions per transport work (freight) on laden voyages [g CO₂ / m tonnes · n miles],Additional information to facilitate the understanding of the reported average operational energy efficiency indicators,Average density of the cargo transported [m tonnes / m³],name,ship_type,length,breadth,draught,year_built,gross_tonnage,deadweight,engine_type,engine_model,engine_power,max_speed,avg_speed
0,6703343,EQUALITY,Other ship types,EIV (57.84 gCO₂/t·nm),,373.5,,1184.62,0.0,889.0,247.0,48.0,,,,594.0,70.25,66.44,,34.46,222.8,210.74,,109.29,,594.0,,,,,,,,,,,,,,,,EQUALITY,Other ship types,124.0,17.0,5.6 m,1966.0,6542.0,2045.0,,,,12.4,9.9
1,7037806,IONIAN STAR,Ro-pax ship,EIV (19.4 gCO₂/t·nm),,1902.0,,6097.81,5440.71,0.0,0.0,657.23,3264.35,2176.23,,1771.0,82.04,,,,263.01,,,,,1771.0,,,,,,,,,,,,,,,,IONIAN STAR,Ro-pax ship,123.0,19.0,5.2 m,1971.0,9149.0,1968.0,,,,11.8,10.9
2,7043843,TALOS,Ro-ro ship,EIV (48.71 gCO₂/t·nm),,2081.79,,6674.22,6431.85,0.0,0.0,242.37,,,,2992.36,57.72,216.85,,,185.05,695.22,,,,2992.36,,,,,,,,,,,,,,,,TALOS,Ro-ro ship,124.0,19.0,4.2 m,1971.0,7171.0,2838.0,,,,13.9,13.9
3,7128332,SEA WIND,Ro-pax ship,EIV (9.29 gCO₂/t·nm),IB,3299.89,,10454.38,8265.5,0.0,0.0,2001.71,2082.82,6182.66,,2737.0,93.47,,,,296.12,,,,,2737.0,,,,,,,,,,,,,,,,SEA WIND,Ro-pax ship,154.0,21.0,,1972.0,15879.0,4000.0,,,,,
4,7226952,FJARDVAGEN,Ro-ro ship,EIV (43 gCO₂/t·nm),IA,1670.56,,5355.81,4596.6,0.0,0.0,759.2,,,,2494.0,49.13,78.18,,,157.51,250.63,,,,2494.0,,,,,,,,,,,,,,,,FJARDVAGEN,Ro-ro ship,108.0,20.0,3.8 m,1972.0,6040.0,2566.0,,,,14.7,13.9
5,7230599,MARKO POLO,Ro-pax ship,EIV (45 gCO₂/t·nm),,3170.21,,10163.69,8047.09,0.0,0.0,2116.6,8047.09,8047.09,,2229.75,116.24,,,,372.65,,,,,2229.75,,,,,,,,,,,,,,,,MARKO POLO,Ro-pax ship,128.0,19.0,5 m,1973.0,10154.0,1132.0,,,,14.4,13
6,7310507,FIDELITY,Other ship types,EIV (31.13 gCO₂/t·nm),,860.3,,2720.3,0.0,1585.0,1094.0,41.0,,,,1431.0,52.6,179.19,,54.6,166.32,566.6,,172.65,,1431.0,,,,,,,,,,,,,,,,FIDELITY,Other ship types,115.0,15.0,6.3 m,1973.0,5395.0,5579.0,MAN-B&W,7S50MC-C,10010 KW,13.5,11.5
7,7325095,LAMPEDUSA,Ro-pax ship,EIV (35.34 gCO₂/t·nm),,1829.99,,5866.95,2746.19,0.0,0.0,3120.74,41.52,5825.43,,1272.25,111.85,,,,358.58,,,,,1272.25,,,,,,,,,,,,,,,,LAMPEDUSA,Ro-pax ship,125.0,18.0,5 m,1974.0,9183.0,2254.0,Fiat,,14000 KW,12.2,11
8,7346221,SUPERFERRY II,Ro-pax ship,EIV (44.89 gCO₂/t·nm),,6413.11,,20072.86,20070.87,0.0,0.0,0.0,2476.74,17596.12,,3090.3,132.45,,,,414.57,,,,,3090.3,,,,,,,,,,,,,,,,SUPERFERRY II,Ro-pax ship,121.0,19.0,4.7 m,1974.0,4986.0,1029.0,,,,19,18.9
9,7349039,CORSICA MARINA SECONDA,Ro-pax ship,EIV (11.49 gCO₂/t·nm),,3450.4,,10986.29,7149.78,1881.72,1172.88,781.88,1188.52,6749.99,,2288.92,104.84,,,,333.82,,,,,2288.92,,,,,,,,,,,,,,,,CORSICA MARINA SECONDA,Ro-pax ship,120.0,21.0,5.4 m,1974.0,12035.0,2151.0,,,,15.5,11.8
10,7350090,MOBY NIKI,Ro-pax ship,EIV (7.61 gCO₂/t·nm),,2538.8,,8019.53,5630.94,0.0,0.0,2388.59,6784.51,1235.02,,1582.27,118.43,,,,374.1,,,,,1582.27,,,,,,,,,,,,,,,,MOBY NIKI,Ro-pax ship,118.0,20.0,4.8 m,1974.0,9182.0,1185.0,,,,16.4,15.2
11,7358755,MOBY KISS,Ro-pax ship,EIV (7.31 gCO₂/t·nm),,2415.88,,7610.02,5637.63,0.0,0.0,1972.39,7031.65,578.37,,1495.2,127.19,,,,400.63,,,,,1495.2,,,,,,,,,,,,,,,,MOBY KISS,Ro-pax ship,117.0,20.0,4.6 m,1975.0,11907.0,1560.0,,,,14.8,12.7
12,7360605,MOBY VINCENT,Ro-pax ship,EIV (10.47 gCO₂/t·nm),,2026.19,,6378.12,4849.66,0.0,0.0,1528.46,5574.48,803.64,,1096.67,128.55,,,,404.65,,,,,1096.67,,,,,,,,,,,,,,,,MOBY VINCENT,Ro-pax ship,120.0,21.0,5.2 m,1974.0,12187.0,2541.0,,,,15.5,14.2
13,7360681,MOBY BABY TWO,Ro-pax ship,EIV (18.19 gCO₂/t·nm),,2288.08,,7199.88,5713.2,0.0,0.0,1486.68,6479.88,720.0,,1632.56,112.21,,,,353.09,,,,,1632.56,,,,,,,,,,,,,,,,MOBY BABY TWO,Ro-pax ship,118.0,18.0,5 m,1974.0,5226.0,990.0,,,,14.5,12.7
14,7361312,MOBY DREA,Ro-pax ship,EIV (5.93 gCO₂/t·nm),IC,4606.31,,14445.05,11371.97,0.0,0.0,3073.11,14445.05,,,853.34,283.92,,,,890.35,,,,,853.34,,,,,,,,,,,,,,,,MOBY DREA,Ro-pax ship,183.0,26.0,,1975.0,22528.0,3335.0,,,,,
